,Frequency,Impedance,Phase
0,10000.0,96457.89927271991,0.206017892771456
1,11800.0,96782.69858962214,-0.1388120482387194
2,13600.0,96311.67615178473,-0.42624177514505845
3,15400.0,97037.88007376366,-0.01927430980731515
4,17200.0,96816.87904669784,0.25271562529798075
5,19000.0,96173.7697680769,-0.09000222319599516
6,20800.0,97040.95587024996,-0.21822509345287244
7,22600.0,97028.7388070049,-0.34618288250305795
8,24400.0,97008.72080528864,-0.14532483061992707
9,26200.0,96902.49694852365,-0.23908860039892943
10,28000.0,97324.92745103507,-0.1487379426522466
11,29800.0,96872.48433058677,-0.28881788354635773
12,31600.0,96905.62794915223,-0.2496153137121837
13,33400.0,96853.24725645506,-0.3817364346733143
14,35200.0,96543.69053721854,-0.32908437613269825
15,37000.0,97268.6203913047,-0.27324505553508516
16,38800.0,96953.5457649272,-0.3292635004585236
17,40600.0,96873.60161328783,-0.34881875925640315
18,42400.0,96987.05235417801,-0.27853530599770693
19,44200.0,96855.12840723647,-0.2971727688130841
20,46000.0,97241.87556551018,-0.1177494848122933
21,47800.0,96615.68296025127,-0.5234218746392685
22,49600.0,96963.79268798065,-0.3962671560582862
23,51400.0,96924.05095739497,-0.4473297365290705
24,53200.0,97282.20331433382,-0.30632753721573636
25,55000.0,97060.39573637785,-0.4909694487331535
26,56800.0,98436.73393607265,-0.3542663956544061
27,58600.0,96577.94379093732,-0.4271170751500222
28,60400.0,96845.24969434265,-0.5599316463306536
29,62200.0,97070.05798744854,-0.6513491574154955
30,64000.0,97084.89422024289,-0.6056956727034617
31,65800.0,97025.88835118005,-0.7169520292845277
32,67600.0,96852.92124613315,-0.7646862265966092
33,69400.0,96547.2465874045,-0.6124437169506791
34,71200.0,96932.10177215726,-0.6145470018003039
35,73000.0,97044.20365355644,-0.6083161517652798
36,74800.0,96713.66875777656,-0.5955987856858656
37,76600.0,96910.15963942562,-0.7435000277414474
38,78400.0,96986.43537106215,-0.7611589098116269
39,80200.0,96635.79202057894,-0.7524221524832342
40,82000.0,97093.40689430413,-0.5532161396208721
41,83800.0,96806.20957512403,-0.8635559554786028
42,85600.0,97024.0314950574,-0.7619092829825718
43,87400.0,96960.32192947273,-0.6982980319885996
44,89200.0,97135.06194916106,-0.5064958718152752
45,91000.0,97324.38759676373,-1.0382204738718883
46,92800.0,96866.83311494665,-0.8345798246256209
47,94600.0,96966.89875894933,-0.7775761987458623
48,96400.0,97067.87348696678,-0.8818009381488991
49,98200.0,96922.07041618974,-0.8376754904693939
50,100000.0,96860.50114403632,-0.9092371719086714
